decimalLatitude;decimalLongitude
-77.85;166.6666667
-77.83333333;166.5666667
-77.833298;166.5
-77.833298;166.550003
-77.67;-35.5
-77.66666667;-35.5
-77.66666667;166.3333333
-77.6467;165.878
-77.555131;165.442871
-77.616699;166.333298
-77.583298;166.166702
-77.53333333;166.2
-77.5;-165
-77.449997;172.449997
-77.416702;169.466705
-77.083298;177.199997
-77;-49
-76.983299;167.600006
-76.61;-30.568
-76.602333;176.802
-76.594;176.828
-76.202;176.248
-76.13333333;168.05
-76.133301;168.050003
-76;-35
-75.633;169.85
-74.863765;-28.855338
-75.5;-28
-75.45;-57.2
-75.283302;172.333298
-75.23333333;164
-75.21666667;164
-75.16666667;164
-75.16666667;164.1666667
-75;163.978302
-74.91666667;163.9833333
-74.83333333;164.1333333
-74.83333333;164.25
-74.83333333;164.095
-74.82166667;164.1916667
-74.81666667;164.3016667
-74.7262;167.0132
-74.72;164.2183333
-74.6917;164.62
-74.5905;170.2757
-74.333298;179.5
-74.333298;-179.916702
-74.058333;179.35
-74;-25
-73.533302;171.366699
-72.5;170.5
-72.246005;170.780632
-72.30833333;170.4466667
-72.250554;170.32782
-72.29166667;170.49
-72.29;170.44
-72.2867;170.322
-72.28666667;170.2983333
-72.285;170.2333333
-72.285;170.4983333
-72.28333333;170.3166667
-72.28166667;170.2833333
-72.26666667;170.3
-72.24666667;170.2533333
-72;-15
-71.330002;170.459335
-71.31166667;-12.285
-71.31166667;170.425
-71.31166667;170.5583333
-71.30666667;170.4816667
-71.28833333;170.6533333
-71.05166667;-11.425
-70.51166667;-8.801
-70.5;-9
-70.31666667;24.43333333
-70.3;23.96666667
-70.16666667;-78.5
-68.6825;77.201667
-68.66833;77.85833
-68.62;77.978
-68.613;77.993
-68.6;77.93833
-68.5;77.95833
-68.5;-68
-68.5;-68.5
-68.183;-67.333
-68.174;-67.1765
-68.16783333;-67.35283333
-68.121;-67.583
-68.069;-67.536
-68;-69
-67.99;-68.604
-67.98;-68.427
-67.916;-68.532
-67.908;-68.547
-67.8833;-69.175
-67.86666667;-67.28333333
-67.8517;-68.9383
-67.818;-68.688
-67.81666667;-69.16666667
-67.80733333;-67.33783333
-67.8055;-67.33833333
-67.8033;-68.9017
-67.75016667;-68.45366667
-67.719;-70.058
-67.692;-69.992
-67.67725;77.274583
-67.59266667;-68.22283333
-67.5835;-68.22266667
-67.56666667;-68.11666667
-67.546;-70.189
-67.526;-70.195
-67.490994;-69.191803
-67.473833;68.836417
-67.42775;70.33875
-67.420166;163.942841
-67.41;74.56
-67.185;69.245
-67.164;164.103
-66.855481;142.601831
-66.346922;139.531006
-66.99;76.319167
-66.889667;70.720917
-66.84166667;-69.5
-66.83333333;163
-66.8;142.5
-66.653789;140.540283
-66.66666667;140.0166667
-66.66666667;139.9833333
-66.295378;136.736267
-66.6593;140.0337
-66.6537;139.8678
-66.6431;140.0487
-66.6312;139.8515
-66.6228;139.9693
-66.62166667;139.875
-66.618;140.0001
-66.602;140.0288
-66.005797;92.907813
-66.5244;140.0239
-66.4067;110.462
-66.3567;-66.7725
-66.3425;139.9941
-66.3406;140.4849
-66.273097;136.731232
-66.3323;140.6751
-66.264;140.33
-66.234;139.33
-66.1718;139.9609
-66.1598;139.3135
-66.1591;140.6571
-66.1;94.3
-66.049167;49.823333
-66.0029;139.9976
-66;89
-66;93
-65.918169;-65.163879
-66;-67
-65.9925;-65.8558
-65.9367;-65.2783
-65.93;110.47
-65.927;-60.56583333
-65.7517;-65.0667
-65.7;92.2
-65.5;-67.52
-65.4975;-64.6008
-65.4709;139.3554
-65.3;95.5
-65.25;96
-65.2424;-64.2458
-65.24;-64.2583
-65.2272;-64.2482
-65.1667;-64.1367
-65.16666667;-65
-65.1;96.2
-65.0917;-64.02
-65.0667;-64.95
-65.0633;-64.0133
-65.0617;-64.02
-65;-65
-65;-65
-65;93
-64.94;-64.042
-64.931;-63.611
-64.917;-68.458
-64.91666667;-63.5
-64.902;-63.0125
-64.8744;-63.5503
-64.868;-62.898
-64.855;-60.647
-64.85;-63.83333333
-64.8417;-63.25
-64.83063889;-62.91138889
-64.8139;-63.5467
-64.8075;-63.09
-64.8069;-64.1167
-64.795;-64.1233
-64.7917;-64.1133
-64.7917;-64.1258
-64.7913;-64.1067
-64.7908;-64.1167
-64.79;-64.12
-64.789;-64.1162
-64.7883;-64.1125
-64.7871;-64.1119
-64.811365;-63.529255
-64.7768;-64.0839
-64.7767;-64.0825
-64.7758;-64.075
-64.775;-64.0825
-64.7739;-64.08
-64.7725;-64.0758
-64.7724;-64.0761
-64.7712;-64.0708
-64.7708;-64.0808
-64.7706;-64.071
-64.77;-64.085
-64.7692;-64.0992
-64.7692;-64.0842
-64.7689;-64.0767
-64.7683;-64.0733
-64.76666667;-64.54833333
-64.7608;-64.1492
-64.75;-64.1
-64.73008;-60.235618
-64.63233333;-56.70616667
-64.625;-62.8533
-64.53333333;97.33333333
-64.51683333;-56.67283333
-64.5;97.3
-64.4242;-64.0767
-64.33333333;-62
-64.333;-63
-64.3129;-62.9722
-64.3057;-62.9675
-64.3;-56.6
-64.16666667;-56.61666667
-64.12852778;-62.01519444
-64.0375;-64.1125
-64;-63
-63.97966667;-56.77066667
-63.94853;-60.99158
-63.88;-57.21
-63.85566667;-55.68516667
-63.83933333;-55.62366667
-63.775;-61.7975
-63.70666667;-56.0325
-63.62133333;-56.15183333
-63.591519;-59.065427
-63.5567;-60.2567
-63.5233;-59.2683
-63.5;-55.25
-63.5;-62
-63.5;-61.75
-63.433;-62.633
-63.3833;-60.85
-63.23;-58.8767
-63.225;-58.783
-63.17616667;-54.111
-63.05906;-60.65643
-63.029;-58.05516667
-63.01944444;-61.16944444
-63;-61
-63;-63
-62.9859;-60.59032
-62.9833;-60.5633
-62.9783;-60.6467
-62.9717;-60.65
-62.97;-60.62
-62.9684;-60.67075
-62.96397;-60.62996
-62.95366667;-58.24333333
-62.95036;-60.65786
-62.95;-60.583333
-62.94757;-60.99896
-62.94672;-60.65655
-62.94339;-60.6242
-62.93286;-60.60523
-62.91666667;-61
-62.79666667;-57.08916667
-62.7455;-57.4465
-62.72468;-60.45496
-62.72362;-60.52725
-62.683;-54.717
-62.667;-54.742
-62.658;-56.15
-62.5;-61
-62.5;-62
-62.4816;-60.2624
-62.4354;-60.2707
-62.434;-60.2658
-62.3903;-60.2839
-62.39;-60.23
-62.3525;-58.8158
-62.3433;-58.7717
-62.33833333;-58.77333333
-62.285;-58.5717
-62.28333333;-58.56666667
-62.2078;-58.9287
-62.2046;-58.9346
-62.2;-58.93333333
-62.2;-58.93
-62.145;-57.82
-62;-59
-62;-61
-62;-57
-62;-59
-61.66666667;-56
-61.5;-58.5
-61.1967;-54.7333
-61;-45
-61;-45
-60.75;-44.667
-60.66666667;-45
-60.58333333;-45.5
-60.50833333;-45.43333333
-60.46666667;-45.9
-60.4417;-45.8883
-58.5;-26.25
-54.75;-37
-54.5;-37
-54.44;-37.15
-54.33333333;-36.36666667
-54.333;-36.417
-54.28333333;-36.46666667
-54;-37
-53.108333;73.090833
-51.37825;75.821083
-51.29;75.431917
